"","site","col_date","sp_code","density","species_description","group"
"64","LM",2019-07-01,"2100",390,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"65","LM",2019-08-01,"2100",130,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"66","LM",2019-09-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"67","LM",2019-10-01,"2100",140,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"68","PC",2017-12-14,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"69","PC",2018-01-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"70","PC",2018-02-01,"2100",0.666666666666667,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"71","PC",2018-03-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"72","PC",2018-04-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"73","PC",2018-06-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"74","PC",2018-07-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"75","PC",2018-08-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"76","PC",2018-09-01,"2100",244,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"77","PC",2018-10-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"78","PC",2018-11-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"79","PC",2018-12-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"80","PC",2019-01-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"81","PC",2019-02-01,"2100",1144,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"82","PC",2019-03-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"83","PC",2019-04-01,"2100",1354,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"84","PC",2019-05-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"85","PC",2019-06-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"86","PC",2019-07-01,"2100",183.333333333333,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"87","PC",2019-08-01,"2100",116,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"88","PC",2019-09-01,"2100",70,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"89","PC",2019-11-01,"2100",840,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"90","FM",2017-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"91","FM",2017-10-01,"2101",0.5,"Dictyocha spp.","Flagellates"
"92","FM",2018-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"93","FM",2018-02-01,"2101",0.333333333333333,"Dictyocha spp.","Flagellates"
"94","FM",2018-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"95","FM",2018-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"96","FM",2018-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"97","FM",2018-07-01,"2101",0.5,"Dictyocha spp.","Flagellates"
"98","FM",2018-08-01,"2101",1,"Dictyocha spp.","Flagellates"
"99","FM",2018-09-01,"2101",1,"Dictyocha spp.","Flagellates"
"100","FM",2018-10-01,"2101",0,"Dictyocha spp.","Flagellates"
"101","FM",2018-11-01,"2101",2,"Dictyocha spp.","Flagellates"
"102","FM",2018-12-01,"2101",0,"Dictyocha spp.","Flagellates"
"103","FM",2019-01-01,"2101",24,"Dictyocha spp.","Flagellates"
"104","FM",2019-02-01,"2101",2,"Dictyocha spp.","Flagellates"
"105","FM",2019-03-01,"2101",1,"Dictyocha spp.","Flagellates"
"106","FM",2019-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"107","FM",2019-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"108","FM",2019-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"109","FM",2019-07-01,"2101",4,"Dictyocha spp.","Flagellates"
"110","FM",2019-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"111","FM",2019-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"112","FM",2019-10-01,"2101",0.5,"Dictyocha spp.","Flagellates"
"113","FM",2019-11-01,"2101",0,"Dictyocha spp.","Flagellates"
"114","GR",2018-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"115","GR",2018-02-01,"2101",0,"Dictyocha spp.","Flagellates"
"116","GR",2018-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"117","GR",2018-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"118","GR",2018-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"119","GR",2018-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"120","GR",2018-07-01,"2101",0.2,"Dictyocha spp.","Flagellates"
"121","GR",2018-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"122","GR",2018-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"123","GR",2018-10-01,"2101",0,"Dictyocha spp.","Flagellates"
"124","GR",2018-11-01,"2101",0,"Dictyocha spp.","Flagellates"
"125","GR",2018-12-01,"2101",0,"Dictyocha spp.","Flagellates"
"126","GR",2019-01-01,"2101",0.666666666666667,"Dictyocha spp.","Flagellates"
"127","GR",2019-02-01,"2101",1,"Dictyocha spp.","Flagellates"
"128","GR",2019-03-01,"2101",1,"Dictyocha spp.","Flagellates"
"129","GR",2019-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"130","GR",2019-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"131","GR",2019-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"132","GR",2019-07-01,"2101",0,"Dictyocha spp.","Flagellates"
"133","GR",2019-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"134","GR",2019-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"135","LM",2018-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"136","LM",2018-02-01,"2101",0,"Dictyocha spp.","Flagellates"
"137","LM",2018-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"138","LM",2018-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"139","LM",2018-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"140","LM",2018-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"141","LM",2018-07-01,"2101",0,"Dictyocha spp.","Flagellates"
"142","LM",2018-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"143","LM",2018-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"144","LM",2018-10-01,"2101",0,"Dictyocha spp.","Flagellates"
"145","LM",2018-11-01,"2101",0,"Dictyocha spp.","Flagellates"
"146","LM",2018-12-01,"2101",0,"Dictyocha spp.","Flagellates"
"147","LM",2019-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"148","LM",2019-02-01,"2101",0,"Dictyocha spp.","Flagellates"
"149","LM",2019-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"150","LM",2019-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"151","LM",2019-05-01,"2101",0,"Dictyocha spp.","Flagellates"
"152","LM",2019-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"153","LM",2019-07-01,"2101",0,"Dictyocha spp.","Flagellates"
"154","LM",2019-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"155","LM",2019-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"156","LM",2019-10-01,"2101",0,"Dictyocha spp.","Flagellates"
"157","PC",2017-12-14,"2101",0,"Dictyocha spp.","Flagellates"
"158","PC",2018-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"159","PC",2018-02-01,"2101",0,"Dictyocha spp.","Flagellates"
"160","PC",2018-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"161","PC",2018-04-01,"2101",0,"Dictyocha spp.","Flagellates"
"162","PC",2018-06-01,"2101",0,"Dictyocha spp.","Flagellates"
"163","PC",2018-07-01,"2101",0,"Dictyocha spp.","Flagellates"
"164","PC",2018-08-01,"2101",0,"Dictyocha spp.","Flagellates"
"165","PC",2018-09-01,"2101",0,"Dictyocha spp.","Flagellates"
"166","PC",2018-10-01,"2101",0,"Dictyocha spp.","Flagellates"
"167","PC",2018-11-01,"2101",0,"Dictyocha spp.","Flagellates"
"168","PC",2018-12-01,"2101",2,"Dictyocha spp.","Flagellates"
"169","PC",2019-01-01,"2101",0,"Dictyocha spp.","Flagellates"
"170","PC",2019-02-01,"2101",0,"Dictyocha spp.","Flagellates"
"171","PC",2019-03-01,"2101",0,"Dictyocha spp.","Flagellates"
"172","PC",2019-04-01,"2101",0,"Dictyocha spp.","Flagellates"
